10469	2008-12-31	382100
10469	2009-12-31	382100
10469	2010-12-31	373000
10469	2011-12-31	341100
10469	2012-12-31	344100
10469	2013-12-31	336100
10471	2003-12-31	490300
10471	2004-12-31	610900
10471	2005-12-31	730000
10471	2006-12-31	753500
10471	2007-12-31	751700
10471	2008-12-31	820000
10471	2009-12-31	676900
10471	2010-12-31	645000
10471	2011-12-31	652200
10471	2012-12-31	626300
10471	2013-12-31	633400
10502	1997-12-31	279700
10502	1998-12-31	314100
10502	1999-12-31	320800
10502	2000-12-31	377500
10502	2001-12-31	419700
10502	2002-12-31	483800
10502	2003-12-31	534600
10502	2004-12-31	623900
10502	2005-12-31	664800
10502	2006-12-31	650800
10502	2007-12-31	666900
10502	2008-12-31	587300
10502	2009-12-31	569100
10502	2010-12-31	573100
10502	2011-12-31	510400
10502	2012-12-31	538900
10502	2013-12-31	552200
10504	1997-12-31	488900
10504	1998-12-31	524100
10504	1999-12-31	597100
10504	2000-12-31	671000
10504	2001-12-31	714400
10504	2002-12-31	853800
10504	2003-12-31	1041700
10504	2004-12-31	1103800
10504	2005-12-31	1181200
10504	2006-12-31	1190100
10504	2007-12-31	1249600
10504	2008-12-31	1101200
10504	2009-12-31	1006800
10504	2010-12-31	976700
10504	2011-12-31	933400
10504	2012-12-31	950000
10504	2013-12-31	959600
10506	1997-12-31	494400
10506	1998-12-31	531500
10506	1999-12-31	564000
10506	2000-12-31	662900
10506	2001-12-31	744300
10506	2002-12-31	860500
10506	2003-12-31	947400
10506	2004-12-31	1085100
10506	2005-12-31	1161300
10506	2006-12-31	1151200
10506	2007-12-31	1327000
10506	2008-12-31	1085100
10506	2009-12-31	995900
10506	2010-12-31	940500
10506	2011-12-31	871900
10506	2012-12-31	970900
10506	2013-12-31	995200
10507	1997-12-31	238800
10507	1998-12-31	254200
10507	1999-12-31	306900
10507	2000-12-31	332700
10507	2001-12-31	375400
10507	2002-12-31	447400
10507	2003-12-31	475500
10507	2004-12-31	535900
10507	2005-12-31	572000
10507	2006-12-31	585900
10507	2007-12-31	594300
10507	2008-12-31	563500
10507	2009-12-31	507800
10507	2010-12-31	489900
10507	2011-12-31	475700
10507	2012-12-31	481200
10507	2013-12-31	472200
10509	1997-12-31	166800
10509	1998-12-31	181000
10509	1999-12-31	196800
10509	2000-12-31	221600
10509	2001-12-31	257700
10509	2002-12-31	296400
10509	2003-12-31	326100
10509	2004-12-31	384300
10509	2005-12-31	410800
10509	2006-12-31	390600
10509	2007-12-31	363000
10509	2008-12-31	334400
10509	2009-12-31	327900
10509	2010-12-31	316100
10509	2011-12-31	295500
10509	2012-12-31	277400
10509	2013-12-31	265100
10510	1997-12-31	330800
